,car,body,mileage,engV,engType,registration,year,drive
1039,40,3,30,2.5,3,1,2014,0
5084,25,2,135,1.3,3,1,2004,2
6167,26,2,209,3.0,0,1,2006,2
7476,18,3,149,3.5,3,1,2007,2
4860,22,0,124,1.8,3,0,2005,1
7997,42,1,1,1.3,1,1,1991,0
6601,42,1,104,1.6,3,1,2008,0
1454,43,3,50,2.0,3,1,2013,0
6224,3,3,221,3.0,0,0,2002,2
7178,30,2,59,4.6,3,1,1995,2
2942,35,3,47,1.8,3,1,2014,0
6736,31,4,123,1.6,2,1,2008,0
6082,42,1,70,1.5,3,1,1991,0
7370,29,1,30,1.6,1,1,2014,0
594,35,1,220,1.9,0,0,2002,0
765,3,3,272,2.0,0,1,2000,2
7290,39,0,181,2.0,2,1,2008,1
92,33,4,185,1.5,0,1,2011,0
3351,40,0,135,4.0,1,1,2007,1
7284,15,1,51,1.5,1,1,2012,0
4846,34,4,156,1.6,3,1,2006,0
3742,35,3,80,1.4,3,1,2014,0
7606,17,3,54,1.4,3,1,2008,0
2053,43,0,156,2.0,0,1,2012,0
6818,8,1,103,1.6,0,1,2012,0
4666,13,1,85,1.25,3,1,2013,0
1238,3,3,5,2.0,3,1,2016,2
7948,33,5,0,1.5,0,1,2016,0
5425,23,3,122,4.6,3,1,2008,2
7301,29,4,165,1.6,3,1,2000,0
4799,8,5,67,1.6,0,1,2012,0
3359,43,3,273,2.0,3,1,2006,0
2015,13,1,82,1.25,3,1,2007,0
6104,38,3,126,2.0,1,1,2007,1
171,22,2,155,3.6,0,1,2008,1
3826,13,1,248,1.8,3,1,2002,0
4078,43,2,30,1.4,3,1,2013,0
1108,17,0,178,2.0,0,0,2006,1
2068,33,5,175,2.0,0,1,2007,0
195,26,2,12,1.8,3,1,2012,2
4777,43,3,86,1.6,3,1,2012,0
1943,16,3,119,2.0,3,1,2007,0
8163,3,3,350,2.5,3,1,1995,2
4261,42,3,70,1.5,3,1,1990,2
3066,29,5,197,1.9,0,1,2006,0
5557,43,1,40,1.4,3,1,2013,0
7215,27,3,158,1.6,3,1,2007,0
5328,33,5,189,2.0,0,1,2010,0
3763,17,0,175,3.8,1,1,2007,1
6000,8,5,132,1.4,3,1,2006,0
1425,27,3,121,1.6,1,1,2008,0
7595,14,5,180,2.46,3,1,2000,2
